symbol,instrument_key,open,high,low,close,volume,timestamp
HDFCBANK,NSE_EQ|INE040A01034,656.3,658.5,649.1,657.0,16641444,2022-05-17
HDFCBANK,NSE_EQ|INE040A01034,662.0,666.6,655.0,657.0,15732384,2022-05-18
HDFCBANK,NSE_EQ|INE040A01034,643.1,648.2,639.2,643.5,20537506,2022-05-19
HDFCBANK,NSE_EQ|INE040A01034,651.5,662.1,646.2,660.5,13919350,2022-05-20
HDFCBANK,NSE_EQ|INE040A01034,657.0,665.0,649.6,652.0,19486320,2022-05-23
HDFCBANK,NSE_EQ|INE040A01034,650.0,662.5,648.4,659.5,12870796,2022-05-24
HDFCBANK,NSE_EQ|INE040A01034,665.0,668.0,661.6,664.4,12887112,2022-05-25
HDFCBANK,NSE_EQ|INE040A01034,671.1,685.5,670.0,683.4,26992428,2022-05-26
HDFCBANK,NSE_EQ|INE040A01034,685.9,697.4,685.4,696.0,24031718,2022-05-27
HDFCBANK,NSE_EQ|INE040A01034,705.1,710.2,699.2,700.8,12624674,2022-05-30
HDFCBANK,NSE_EQ|INE040A01034,698.0,702.4,690.0,694.5,13485388,2022-05-31
HDFCBANK,NSE_EQ|INE040A01034,690.0,700.2,689.6,697.4,12091896,2022-06-01
HDFCBANK,NSE_EQ|INE040A01034,693.6,694.0,689.3,692.6,11475020,2022-06-02
HDFCBANK,NSE_EQ|INE040A01034,699.2,700.4,688.2,690.2,6957244,2022-06-03
HDFCBANK,NSE_EQ|INE040A01034,688.2,693.5,680.3,689.2,6173266,2022-06-06
HDFCBANK,NSE_EQ|INE040A01034,681.0,687.2,677.0,681.3,10253966,2022-06-07
HDFCBANK,NSE_EQ|INE040A01034,686.6,690.5,678.5,683.7,5986588,2022-06-08
HDFCBANK,NSE_EQ|INE040A01034,681.1,691.0,678.6,688.8,7311816,2022-06-09
HDFCBANK,NSE_EQ|INE040A01034,680.0,684.0,671.8,675.6,9155430,2022-06-10
HDFCBANK,NSE_EQ|INE040A01034,661.8,665.0,654.2,663.3,10892572,2022-06-13
HDFCBANK,NSE_EQ|INE040A01034,655.6,663.0,652.5,656.0,11870356,2022-06-14
HDFCBANK,NSE_EQ|INE040A01034,650.8,657.9,649.2,653.7,11810470,2022-06-15
HDFCBANK,NSE_EQ|INE040A01034,655.0,660.3,639.0,640.6,12169192,2022-06-16
